001.jpeg,003.jpeg,010.jpeg
"[365, 267, 110, 306, 252, 325, 120]","[365, 267, 110, 306, 252, 325, 120]","[365, 267, 110, 306, 252, 325, 120]"
"[191, 162, 125, 181, 191, 224, 247]","[191, 162, 125, 181, 191, 224, 247]","[191, 162, 125, 181, 191, 224, 247]"
